WGRAD,WMIN,WSEC,NGRAD,NMIN,NSEC,ALTITUD,HUELLA,HECES,PELO,FOTO,COLECTOR,FECHA(dd/mm/aa),lon,lat
75,50,15.199999,4,29,56.7,3200,1,0,1,0,Jaime Suarez,20/3/2004,-75.499083,4.837555
75,50,17.299999,4,29,58.599998,3300,1,0,0,0,Jaime Suarez,22/3/2004,-75.499611,4.838138
75,49,12.699999,4,29,95,3550,0,1,0,0,Jaime Suarez,23/3/2004,-75.509722,4.820194
75,49,21.5,4,29.129999,2,3487,1,0,0,0,Jaime Suarez,20/3/2004,-75.486055,4.822638
75,49,35.599998,4,29,19.7,3500,1,0,0,0,Jaime Suarez,22/3/2004,-75.488805,4.826555
75,49,29.7,4,29.5,16.299999,3550,1,0,0,0,Jaime Suarez,22/3/2004,-75.496194,4.824916
75,49,17,4,29,13.3,3500,0,1,0,0,Jaime Suarez,23/3/2004,-75.487027,4.821388
75,49,6.69,4,30,27.1,3600,0,1,0,0,Jaime Suarez,25/3/2004,-75.507527,4.818527
75,48,3.5,4,29,48.2,3630,0,1,0,0,Jaime Suarez,28/3/2004,-75.496722,4.800972
75,48,12.8,4,30,17.399999,3510,1,0,0,0,Jaime Suarez,27/3/2004,-75.504833,4.803555
75,37,37.400001,4,20,42.7,3015,0,0,1,0,Andres Guarnizo,20/2/2004,-75.345194,4.627055
75,37,58.099998,4,20,58.799999,3210,0,0,1,0,Jaime Suarez,15/5/2004,-75.349666,4.632805
75,40,58.299999,4,30,1.5,2935,1,0,0,0,Jaime Suarez,16/5/2004,-75.500416,4.682861
75,40,38.299999,4,29,41.799999,2950,0,1,0,0,Jaime Suarez,16/5/2004,-75.494944,4.677305
75,40,38.299999,4,29,41.799999,2950,1,0,0,0,Jaime Suarez,17/5/2004,-75.494944,4.677305
75,40,38.299999,4,29,41.799999,2950,0,1,0,0,Jaime Suarez,17/5/2004,-75.494944,4.677305
75,40,39.2,4,29,53.400001,2800,1,0,0,0,Jaime Suarez,17/5/2004,-75.498166,4.677555
75,48,21,4,29,53.400001,2800,1,0,0,0,Jaime Suarez,18/5/2004,-75.498166,4.805833
75,NA,NA,4,NA,NA,3600,1,0,0,0,Diego Lizcano,20/6/2000,-75.525084,4.785653
75,NA,NA,4,NA,NA,3630,1,0,0,0,Diego Lizcano,22/6/2000,-75.513008,4.743417
75,NA,NA,4,NA,NA,3510,1,0,0,0,Diego Lizcano,28/6/2000,-75.522935,4.702971
75,NA,NA,4,NA,NA,3015,1,0,0,0,Diego Lizcano,27/6/2000,-75.329913,4.627265
75,NA,NA,4,NA,NA,3210,1,0,0,1,Diego Lizcano,26/6/2000,-75.374452,4.544977
75,NA,NA,4,NA,NA,2935,1,1,0,0,Diego Lizcano,30/6/2000,-75.467372,4.499991
