gbifid	abstract	accessrights	accrualmethod	accrualperiodicity	accrualpolicy	alternative	audience	available	bibliographiccitation	conformsto	contributor	coverage	created	creator	date_	dateaccepted	datecopyrighted	datesubmitted	description	educationlevel	extent	format_	hasformat	haspart	hasversion	identifier	instructionalmethod	isformatof	ispartof	isreferencedby	isreplacedby	isrequiredby	isversionof	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsholder	source	spatial	subject	tableofcontents	temporal	title	type	valid	acceptednameusage	acceptednameusageid	associatedmedia	associatedoccurrences	associatedreferences	associatedsequences	associatedtaxa	basisofrecord	bed	behavior	catalognumber	class	collectioncode	collectionid	continent	countrycode	county	datageneralizations	datasetid	datasetname	dateidentified	day	decimallatitude	decimallongitude	disposition	dynamicproperties	earliestageorloweststage	earliesteonorlowesteonothem	earliestepochorlowestseries	earliesteraorlowesterathem	earliestperiodorlowestsystem	enddayofyear	establishmentmeans	eventdate	eventid	eventremarks	eventtime	family	fieldnotes	fieldnumber	footprintsrs	footprintspatialfit	footprintwkt	formation	genus	genericname	geodeticdatum	geologicalcontextid	georeferenceddate	georeferenceprotocol	georeferenceremarks	georeferencesources	georeferenceverificationstatus	georeferencedby	group_	habitat	higherclassification	highergeography	highergeographyid	highestbiostratigraphiczone	identificationid	identificationqualifier	identificationreferences	identificationremarks	identificationverificationstatus	identifiedby	individualcount	individualid	informationwithheld	infraspecificepithet	institutioncode	institutionid	island	islandgroup	kingdom	latestageorhigheststage	latesteonorhighesteonothem	latestepochorhighestseries	latesteraorhighesterathem	latestperiodorhighestsystem	lifestage	lithostratigraphicterms	locality	locationaccordingto	locationid	locationremarks	lowestbiostratigraphiczone	materialsampleid	maximumdistanceabovesurfaceinmeters	member	minimumdistanceabovesurfaceinmeters	month	municipality	nameaccordingto	nameaccordingtoid	namepublishedin	namepublishedinid	namepublishedinyear	nomenclaturalcode	nomenclaturalstatus	occurrencedetails	occurrenceid	occurrenceremarks	occurrencestatus	order_	originalnameusage	originalnameusageid	othercatalognumbers	ownerinstitutioncode	parentnameusage	parentnameusageid	phylum	pointradiusspatialfit	preparations	previousidentifications	recordnumber	recordedby	reproductivecondition	samplingeffort	samplingprotocol	scientificname	scientificnameid	sex	specificepithet	startdayofyear	stateprovince	subgenus	taxonconceptid	taxonid	taxonrank	taxonremarks	taxonomicstatus	typestatus	typifiedname	verbatimcoordinatesystem	verbatimcoordinates	verbatimdepth	verbatimelevation	verbatimeventdate	verbatimlocality	verbatimsrs	verbatimtaxonrank	vernacularname	waterbody	year	datasetkey	publishingcountry	lastinterpreted	coordinateaccuracy	elevation	elevationaccuracy	depth	depthaccuracy	distanceabovesurface	distanceabovesurfaceaccuracy	issue	hascoordinate	hasgeospatialissues	taxonkey	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	subgenuskey	specieskey	species	protocol	lastparsed	lastcrawled
																																																															PRESERVED_SPECIMEN			M-169931	Mammalia	Mammal																									Tapiridae							Tapirus	Tapirus																									AMNH				Animalia																														Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES																96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T00:28Z		0.0	0.0	0.0	0.0						2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DIGIR_MANIS		2013-09-07T09:12Z
884094560																										A11884.7422296																												PhysicalObject							Genbank:		PRESERVED_SPECIMEN			A11884.7422296	Mammalia	Mammals		SOUTH_AMERICA	CO																						Tapiridae							Tapirus	Tapirus											Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Perissodactyla, Tapiridae	South America, Colombia										A11884			USNM				Animalia																														Perissodactyla							Chordata		Skull; Skeleton			S. Hurlbut				Tapirus pinchaque (Roulin, 1829)		FEMALE	pinchaque						SPECIES									-- -- ----							5df38344-b821-49c2-8174-cf0f29f4df0d	US	2014-04-02T22:07Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-30T01:59Z	2014-03-15T23:18Z
332084189																										d3821a38-7b53-43fc-a46a-23cc31a2eed6																																					PRESERVED_SPECIMEN			M12888	Mammalia	Mammals		SOUTH_AMERICA	CO	not applicable					30												1971-04-30T00:00Z				Tapiridae							Tapirus	Tapirus																									ANWC				Animalia																	4													Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque		Valle de Cauca				SPECIES															1971	0debafd0-6c8a-11de-8225-b8a03c50a862	AU	2014-04-02T05:03Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T03:32Z	2014-03-17T15:40Z
860787203																										5635																																					PRESERVED_SPECIMEN			IAvH-M-5635	Mammalia	IAvH-M		SOUTH_AMERICA	CO																						Tapiridae							Tapirus	Tapirus																									IAvH	820000142-2			Animalia								PNN Purace, Valle del Paletara, arriba de la cabaña de INDERENA, Selva alta no intervenida																						Perissodactyla							Chordata					Mayorga, Jorge				Tapirus pinchaque (Roulin, 1829)			pinchaque		Cauca				SPECIES																2a337d5a-a784-4f8a-a947-46d69e0fa3eb	CO	2014-04-02T20:15Z		3000.0									2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T22:07Z	2013-12-18T08:39Z
476811985																										MCZ:Mamm:5825									en							http://mczbase.mcz.harvard.edu/guid/MCZ:Mamm:5825					President and Fellows of Harvard College							PhysicalObject				http://mczbase.mcz.harvard.edu/guid/MCZ:Mamm:5825					PRESERVED_SPECIMEN			5825	Mammalia	Mamm		SOUTH_AMERICA	EC						1			unknown									1700-01-01T00:00Z				Tapiridae							Tapirus	Tapirus											Animalia Chordata Mammalia Perissodactyla Tapiridae Tapirus pinchaque	South America, Ecuador						on exhibit		[no agent data]					MCZ	b4640710-8e03-11d8-b956-b8a03c50a862			Animalia								Cordilleras									1							ICZN						Perissodactyla				Museum of Comparative Zoology, Harvard University			Chordata		skin (mounted)			Edward Gerrard Jr				Tapirus pinchaque (Roulin, 1829)			pinchaque	0					SPECIES									[date unknown]						1700	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2014-04-02T07:41Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T07:23Z	2014-04-16T20:08Z
																																																															PRESERVED_SPECIMEN			IAvH-M-6180	Mammalia	IAvH-M		SOUTH_AMERICA	CO	Santa Rosa de Cabal						4.70972	-75.4875														Tapiridae							Tapirus	Tapirus																				Lizcano, Diego					8200001422-01				Animalia								Parque Regional Natural Ucumari, vda Cortaderal																						Perissodactyla							Chordata					Lizcano, Diego				Tapirus pinchaque (Roulin, 1829)			pinchaque		Risaralda				SPECIES																2a337d5a-a784-4f8a-a947-46d69e0fa3eb	CO	2014-04-02T13:00Z		3420.0									2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE		2013-09-07T09:19Z
665876999		http://fieldmuseum.org/about/copyright-information																								2588893									English											http://fieldmuseum.org/about/copyright-information								PhysicalObject									PRESERVED_SPECIMEN			90023	Mammalia	Mammals	Mammals	SOUTH_AMERICA	CO			mammals-9-jul-2012	Mammals		3	1.83333	-76.58333										1958-12-03T00:00Z				Tapiridae							Tapirus	Tapirus				published							Animalia Chordata Mammalia Perissodactyla Tapiridae	South America, Colombia, Cauca: Valle de Las Papas													FMNH	FMNH			Animalia								Valle de Las Papas									12							ICZN						Perissodactyla				FMNH			Chordata		skin,skull		25122					Tapirus pinchaque (Roulin, 1829)		FEMALE	pinchaque	3	Cauca				SPECIES															1958	41fc5c40-5e81-496f-9733-6b5681b3b7a5	US	2014-04-02T14:17Z		3000.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T11:03Z	2013-12-22T15:37Z
859534904																										urn:catalog:AMNH:Mammals:M-149331									en				2013-08-07T00:00Z															PhysicalObject									PRESERVED_SPECIMEN			M-149331	Mammalia	Mammals		SOUTH_AMERICA	CO	Purace					1										1	NATIVE	1950-01-01T00:00Z				Tapiridae							Tapirus	Tapirus											Animalia;Chordata;Mammalia;Perissodactyla;Tapiridae;Tapirus	South America;Colombia;Cauca;Purace;;;;													AMNH	urn:lsid:biocol.org:col:34925			Animalia								Paletara									1							ICZN					present	Perissodactyla							Chordata		Skull, Cranium and Mandible, Not Mounted		VD 54 C	G. Valencia				Tapirus pinchaque (Roulin, 1829)			pinchaque	1	Cauca				SPECIES								3200 m	1950-01-01	South America; Colombia; Cauca; Purace; ; ; ; ; ; ; South America; Colombia; Cauca; Purace; ; ; ; ; ; ; Paletara					1950	96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T20:19Z		3200.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T19:06Z	2013-12-13T21:01Z
865748799																																																															PRESERVED_SPECIMEN			MHNG-MAM-1144.023	Mammalia	Mammals housed at MHNG, Geneva			EC						5	-1.21694	-78.25005										1968-08-05T00:00Z				Tapiridae							Tapirus	Tapirus																									MHNG				Animalia								Cordillera de los Llanganates/Provincia del Tungurahua									8													Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES															1968	5a659248-1f70-11e3-b2c5-00145eb45e9a	CH	2014-04-02T21:40Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	BIOCASE	2014-03-30T00:42Z	2014-03-19T17:04Z
476867856																										MCZ:Mamm:52656									en							http://mczbase.mcz.harvard.edu/guid/MCZ:Mamm:52656					President and Fellows of Harvard College							PhysicalObject				http://mczbase.mcz.harvard.edu/guid/MCZ:Mamm:52656					PRESERVED_SPECIMEN			52656	Mammalia	Mamm		SOUTH_AMERICA	EC						29			unknown	sex: female								1929-07-29T00:00Z				Tapiridae							Tapirus	Tapirus											Animalia Chordata Mammalia Perissodactyla Tapiridae Tapirus pinchaque	South America, Ecuador, Morona Santiago								[no agent data]					MCZ	b4640710-8e03-11d8-b956-b8a03c50a862			Animalia								Mount Sangay, Meliciano									7							ICZN						Perissodactyla			collector number=97	Museum of Comparative Zoology, Harvard University			Chordata		skull (dry); hide (dry); hide (dry)		97	T Mena				Tapirus pinchaque (Roulin, 1829)		FEMALE	pinchaque	0	Morona Santiago				SPECIES									29 July 1929						1929	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2014-04-02T07:06Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T07:26Z	2014-04-16T20:07Z
